id,author,phrase,observation
1,Nelson Mandela,There is no passion to be found playing small – in settling for a life that is less than the one you are capable of living.,"Encontrada na página 7 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
2,Mark W. Schaefer,Passion without a plan is a hobby.,"Encontrada na página 12 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
3,Thomas Friedman,The world is flat.,"Encontrada na página 32 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
4,Sally Hogshead,Different is better than better.,"Encontrada na página 39 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
5,Mark W. Schaefer,"Passion, that’s common. Endurance is rare.","Encontrada na página 40 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
6,Mark W. Schaefer,Knowing that I’ve made a positive change in a life is my fuel and my purpose.,"Encontrada na página 44 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
7,Angela Duckworth,Our potential is one thing. What we do with it is quite another.,"Livro Grit. Encontrada na página 69 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
8,Kevin Kelly,"Right now, today, is the best time to start.","Livro The Inevitable. Encontrada na página 75 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
9,Mark W. Schaefer,Humans have a deep psychological need to repay a debt or kindness.,"Encontrada na página 98 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
10,Mark W. Schaefer,You’re not going to make everybody happy all the time. You’re not pizza.,"Encontrada na página 116 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
11,Mark W. Schaefer,"In every waking hour of your day, ideas are streaming over you like a waterfall.","Encontrada na página 118 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
12,Mark W. Schaefer,A “like” represents little more than a handshake.,"Encontrada na página 133 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
13,Japanese proverb,Fall seven times and stand up eight.,"Encontrada na página 193 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
14,Mark W. Schaefer,The great non-negotiable resource: time.,"Encontrada na página 194 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
15,Mark W. Schaefer,Failure is never the end of the story. Mistakes and even epic blunders are part of your life university.,"Encontrada na página 203 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
16,John C. Maxwell,"Sometimes you win, sometimes you learn.","Encontrada na página 194 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
17,Angela Duckworth,"At various points, in big ways and small, you get knocked down. If you stay down, grit loses. If you get up, grit prevails.","Encontrada na página 216 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
18,Madre Teresa.,"When you judge people, you don’t have time to love them.","Encontrada na página 228 do livro Known: the handbook for building and unleashing your personal brand in the digital age (english edition), do autor Mark W. Schaefer."
